Κωδικός,Όνομα,Κατηγορία,Διάρκεια (λεπτά),Κόστος (€),Χώρος,Κύριος Ιατρός,Βοηθός 1,Βοηθός 2
Χ717959,"ΠΑΡΟΧΕΤΕΥΣΗ ΕΞΩ ΟΥΣ, ΑΠΟΣΤΗΜΑ Η ΑΙΜΑΤΩΜΑ, ΑΠΛΟ",θεραπευτική,65,896,αίθουσα επέμβασης,Jose Spencer,Lori Taylor,Kelly Grimes
Χ717969,"ΠΑΡΟΧΕΤΕΥΣΗ ΕΞΩ ΟΥΣ, ΑΠΟΣΤΗΜΑ Η ΑΙΜΑΤΩΜΑ, ΕΠΙΠΕΠΛΕΓΜΕΝΟ",θεραπευτική,81,871,αίθουσα επέμβασης,John Molina,Matthew Cooke,Harry Fowler
Χ717999,"ΠΑΡΟΧΕΤΕΥΣΗ ΕΞΩ ΑΚΟΥΣΤΙΚΟΣ ΠΟΡΟΣ, ΑΠΟΣΤΗΜΑ",θεραπευτική,40,652,αίθουσα επέμβασης,Calvin Rowe,Joshua Dennis,Michael Garcia
Χ718159,ΒΙΟΨΙΑ ΕΞΩ ΟΥΣ,θεραπευτική,37,230,αίθουσα επέμβασης,Dillon Jones,Rachel Ortiz,Dustin Moore
Χ718169,ΒΙΟΨΙΑ ΕΞΩ ΑΚΟΥΣΤΙΚΟΣ ΠΟΡΟΣ,θεραπευτική,86,289,αίθουσα επέμβασης,John Molina,Ian Wiggins,Nancy Burke
Χ718179,"ΕΚΤΟΜΗ ΕΞΩ ΟΥΣ, ΜΕΡΙΚΗ, ΑΠΛΗ ΔΙΟΡΘΩΣΗ",χειρουργική,252,3350,χειρουργείο,Thomas Norris,Andrew Choi,Kathy Jones
Χ718199,"ΕΚΤΟΜΗ ΕΞΩ ΟΥΣ, ΟΛΙΚΟΣ ΑΚΡΩΤΗΡΙΑΣΜΟΣ",χειρουργική,154,3163,χειρουργείο,Phillip Wright,Kevin Alvarez,Cheryl Sanchez
Χ718239,"ΕΚΤΟΜΗ ΕΞΟΣΤΩΣΙΣ(ΕΙΣ), ΕΞΩ ΑΚΟΥΣΤΙΚΟΣ ΠΟΡΟΣ",χειρουργική,238,1839,χειρουργείο,Jason Nelson,Lori Taylor,Lindsey Gardner
Χ718249,"ΕΚΤΟΜΗ, ΒΛΑΒΗ ΜΑΛΑΚΟΥ ΙΣΤΟΥ, ΕΞΩ ΑΚΟΥΣΤΙΚΟΣ ΠΟΡΟΣ",χειρουργική,267,1405,χειρουργείο,Jennifer Cross,Rachel Ortiz,John Gonzales
Χ718259,"ΡΙΖΙΚΗ ΕΚΤΟΜΗ, ΒΛΑΒΗ ΕΞΩ ΑΚΟΥΣΤΙΚΟΥ ΠΟΡΟΥ, ΧΩΡΙΣ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΙΚΩΝ ΑΔΕΝΩΝ",χειρουργική,120,4003,χειρουργείο,Ralph Henry,William Daniels,April Carson
Χ617999,"ΤΟΜΗ ΣΤΟ ΜΑΣΤΟ ΜΕ ΔΙΕΡΕΥΝΗΣΗ Ή ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΕΝ ΤΩ ΒΑΘΕΙ",χειρουργική,251,3926,χειρουργείο,Clayton Rodriguez,Michael Valencia,Michael Garcia
Χ618019,ΔΙΑΔΙΚΑΣΙΑ ΕΝΕΣΗΣ ΜΟΝΟ ΓΙΑ ΜΑΣΤΙΚΗ ΠΟΡΟΓΡΑΦΙΑ Ή ΓΑΛΑΚΤΟΓΡΑΦΙΑ,θεραπευτική,74,880,αίθουσα επέμβασης,Lauren Smith,Tiffany Martinez,Phillip Wright
Χ618159,"ΒΙΟΨΙΑ ΜΑΣΤΟΥ, ΔΙΑΔΕΡΜΙΚΗ, ΜΕΓΑΛΗ ΒΕΛΟΝΗ, ΧΩΡΙΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΚΑΘΟΔΗΓΗΣΗ (ΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",θεραπευτική,52,365,αίθουσα επέμβασης,Michael Turner,Jennifer Washington,Robert Chen
Χ618161,"ΒΙΟΨΙΑ ΜΑΣΤΟΥ, ΑΝΟΙΚΤΗ",θεραπευτική,44,214,αίθουσα επέμβασης,Andrew Schwartz,Calvin Rowe,Barry Morgan
Χ618163,"ΒΙΟΨΙΑ ΜΑΣΤΟΥ, ΔΙΑΔΕΡΜΙΚΗ, ΜΕΓΑΛΗ ΒΕΛΟΝΗ, ΜΕ ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΚΑΘΟΔΗΓΗΣΗ",θεραπευτική,64,770,αίθουσα επέμβασης,Hannah Cruz,William Daniels,Tracy Allen
Χ618165,"ΒΙΟΨΙΑ ΜΑΣΤΟΥ, ΔΙΑΔΕΡΜΙΚΗ, ΜΕ ΣΥΣΚΕΥΗ ΒΙΟΨΙΑΣ ΑΡΝΗΤΙΚΗΣ ΠΙΕΣΗΣ Ή ΠΕΡΙΣΤΡΕΦΟΜΕΝΗΣ ΒΕΛΟΝΑΣ, ΜΕ ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΚΑΘΟΔΗΓΗΣΗ",θεραπευτική,43,309,αίθουσα επέμβασης,Troy Grant,Brandi Greer,William Steele
Χ618169,"ΑΦΑΙΡΕΣΗ, ΜΕ ΚΡΥΟΧΕΙΡΟΥΡΓΙΚΗ, ΙΝΟΑΔΕΝΩΜΑΤΟΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΚΑΘΟΔΗΓΗΣΗΣ ΚΑΘΕ ΙΝΟΑΔΕΝΩΜΑ",χειρουργική,112,2915,χειρουργείο,Anthony Rhodes,Victor Williams,Brandi Greer
Χ618179,"ΔΙΕΡΕΥΝΗΣΗ ΘΗΛΗΣ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΜΟΝΗΡΟΥΣ ΓΑΛΑΚΤΟΦΟΡΟΥ ΠΟΡΟΥ Ή ΘΗΛΩΜΑΤΟΣ ΓΑΛΑΚΤΟΦΟΡΟΥ ΠΟΡΟΥ",χειρουργική,150,968,χειρουργείο,Jerry Garcia,Melissa Murphy,William Steele
Χ618183,ΕΚΤΟΜΗ ΣΥΡΙΓΓΙΟΥ ΓΑΛΑΚΤΟΦΟΡΟΥ ΠΟΡΟΥ,χειρουργική,91,3640,χειρουργείο,Ian Wiggins,Jennifer Washington,Nancy Burke
Χ618199,"ΕΚΤΟΜΗ ΚΥΣΤΗΣ, ΙΝΟΑΔΕΝΩΜΑΤΟΣ, Ή ΑΛΛΟΥ ΚΑΛΟΗΘΟΥΣ Ή ΚΑΚΟΗΘΟΥΣ ΟΓΚΟΥ, ΠΑΘΟΛΟΓΙΚΟΥ ΜΑΣΤΙΚΟΥ ΙΣΤΟΥ, ΒΛΑΒΗΣ ΠΟΡΟΥ, ΘΗΛΑΙΑ ΒΛΑΒΗ Ή ΤΗΣ ΘΗΛΑΙΑΣ ΑΛΩ (ΜΕ ΕΞΑΙΡΕΣΗ 19300), ΑΝΟΙΚΤΗ, ΑΡΡΕΝ Ή ΘΗΛΥ, ΜΙΑ Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΒΛΑΒΕΣ",χειρουργική,203,4082,χειρουργείο,Joshua Dennis,Tiffany Webster,David Flores
Χ618209,"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΜΑΣΤΟΥ ΤΑΥΤΟΠΟΙΗΜΕΝΗΣ ΑΠΟ ΠΡΟΕΓΧΕΙΡΗΤΙΚΗ ΤΟΠΟΘΕΤΗΣΗ ΑΚΤΙΝΟΛΟΓΙΚΟΥ ΔΕΙΚΤΗ, ΑΝΟΙΚΤΗ, ΜΙΑ ΒΛΑΒΗ",χειρουργική,217,3474,χειρουργείο,Anthony Harris,Jose Spencer,Robert Chen
Χ618211,"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΜΑΣΤΟΥ ΤΑΥΤΟΠΟΙΗΜΕΝΗΣ ΑΠΟ ΠΡΟΕΓΧΕΙΡΗΤΙΚΗ ΤΟΠΟΘΕΤΗΣΗ ΑΚΤΙΝΟΛΟΓΙΚΟΥ ΔΕΙΚΤΗ, ΑΝΟΙΚΤΗ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΒΛΑΒΗ ΞΕΧΩΡΙΣΤΑ ΤΑΥΤΟΠΟΙΗΜΕΝΗ ΜΕ ΠΡΟΕΓΧΕΙΡΗΤΙΚΟ ΑΚΤΙΝΟΛΟΓΙΚΟ ΔΕΙΚΤΗ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΧΩΡΙΣΤΑ ΩΣ ΠΡΟΣΘΗΚΗ ΣΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΠΡΩΤΟΓΕΝΟΥΣ ΔΙΑΔΙΚΑΣΙΑΣ)",χειρουργική,251,3441,χειρουργείο,Shannon Walker,Barry Morgan,Brian Dennis
Χ618501,"ΕΚΤΟΜΗ ΟΓΚΟΥ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ ΜΕ ΣΥΜΜΕΤΟΧΗ ΠΛΕΥΡΩΝ, ΜΕ ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ, ΧΩΡΙΣ ΜΕΣΟΘΩΡΑΚΙΚΗ ΛΕΜΦΑΔΕΝΕΚΤΟΜΗ",χειρουργική,171,2757,χειρουργείο,William Daniels,Clayton Rodriguez,Mike Lewis
Χ618503,"ΕΚΤΟΜΗ ΟΓΚΟΥ ΘΩΡΑΚΙΚΟΥ ΤΟΙΧΩΜΑΤΟΣ ΜΕ ΣΥΜΜΕΤΟΧΗ ΠΛΕΥΡΩΝ, ΜΕ ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕ ΜΕΣΟΘΩΡΑΚΙΚΗ ΛΕΜΦΑΔΕΝΕΚΤΟΜΗ",χειρουργική,214,1054,χειρουργείο,Mike Lewis,Calvin Rowe,Andrew Choi
Χ618539,"ΠΡΟΕΓΧΕΙΡΗΤΙΚΗ ΤΟΠΟΘΕΤΗΣΗ ΣΥΡΜΑΤΟΣ ΕΝΤΟΠΙΣΜΟΥ, ΜΑΣΤΟΣ",θεραπευτική,66,370,αίθουσα επέμβασης,Courtney Thompson,Jerry Garcia,Joshua Dennis
Χ618541,"ΠΡΟΕΓΧΕΙΡΗΤΙΚΗ ΤΟΠΟΘΕΤΗΣΗ ΣΥΡΜΑΤΟΣ ΕΝΤΟΠΙΣΜΟΥ, ΜΑΣΤΟΣ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΒΛΑΒΗ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΧΩΡΙΣΤΑ ΩΣ ΠΡΟΣΘΗΚΗ ΣΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΠΡΩΤΟΓΕΝΟΥΣ ΔΙΑΔΙΚΑΣΙΑΣ)",θεραπευτική,67,728,αίθουσα επέμβασης,Kristy Griffin,Evan Henry,Vanessa Davis
Χ639959,"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΑΙΜΑΤΩΜΑΤΟΣ, ΡΙΝΙΚΟ, ΕΣΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ",θεραπευτική,47,166,αίθουσα επέμβασης,George Nichols,Alec Rojas,Hannah Cruz
Χ639999,"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΑΙΜΑΤΩΜΑΤΟΣ, ΡΙΝΙΚΟ ΔΙΑΦΡΑΓΜΑ",θεραπευτική,68,697,αίθουσα επέμβασης,Jared Allen,Dustin Moore,Troy Horton
Χ640159,"ΒΙΟΨΙΑ, ΕΝΔΟΡΙΝΙΚΗ",θεραπευτική,77,453,αίθουσα επέμβασης,Anthony Rhodes,Dustin Moore,Tiffany Martinez
Χ640179,"ΕΚΤΟΜΗ, ΡΙΝΙΚΟΣ ΠΟΛΥΠΟΔΑΣ(ΕΣ), ΑΠΛΗ",χειρουργική,156,2535,χειρουργείο,George Nichols,George Foster,Anthony Harris
Χ640189,"ΕΚΤΟΜΗ, ΡΙΝΙΚΟΣ ΠΟΛΥΠΟΔΑΣ(ΕΣ), ΕΥΡΕΙΑ",χειρουργική,102,2309,χειρουργείο,Harry Fowler,Michael Smith,Andrew Schwartz
Χ640193,"ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ (ΠΧ. ΛΕΪΖΕΡ Ή ΡΑΔΙΟΣΥΧΝΟΤΗΤΕΣ), ΕΝΔΟΡΙΝΙΚΗ ΒΛΑΒΗ. ΕΣΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ",χειρουργική,205,3610,χειρουργείο,Rachel Ortiz,Lauren Smith,Troy Horton
Χ640195,"ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ (ΠΧ. ΛΕΪΖΕΡ), ΕΝΔΟΡΙΝΙΚΗ ΒΛΑΒΗ. ΕΞΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ (ΠΛΑΓΙΑ ΡΙΝΟΤΟΜΙΑ)",χειρουργική,155,1771,χειρουργείο,Cheryl Sanchez,Brian Dennis,Jared Allen
Χ640199,"ΑΝΤΙΜΕΤΩΠΙΣΗ ΡΙΝΟΦΥΜΑΤΟς ΜΕ ΧΡΗΣΗ ΔΕΡΜΟΑΠΟΞΕΣΗΣ, ΛΕΙΖΕΡ, ΗΛΕΚΡΟΧΕΙΡΟΥΡΓΙΚΗ, ΚΡΥΟΘΕΡΑΠΕΙΑ ΚΛΠ.",χειρουργική,205,2332,χειρουργείο,John Molina,Evan Henry,Dillon Jones
Χ640207,"ΕΚΤΟΜΗ ΔΕΡΜΟΕΙΔΟΥΣ ΚΥΣΤΗΣ, ΡΙΣ. ΑΠΛΗ, ΔΕΡΜΑ, ΥΠΟΔΟΡΙΑ",χειρουργική,122,3099,χειρουργείο,Tiffany Webster,Harry Fowler,Anthony Harris
Χ640209,"ΕΚΤΟΜΗ ΔΕΡΜΟΕΙΔΟΥΣ ΚΥΣΤΗΣ, ΡΙΣ. ΣΥΝΘΕΤΗ, ΚΑΤΩ ΑΠΟ ΟΣΤΟ Ή ΧΟΝΔΡΟ",χειρουργική,243,1845,χειρουργείο,Kristy Griffin,William Steele,Anthony Harris
Χ640219,"ΕΚΤΟΜΗ ΚΑΤΩ ΡΙΝΙΚΗΣ ΚΟΓΧΗΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΚΑΘΕ ΜΕΘΟΔΟΣ",χειρουργική,118,3046,χειρουργείο,Kevin Alvarez,Tiffany Webster,Barry Morgan
Χ640239,"ΥΠΟΒΛΕΝΝΟΓΟΝΟΣ ΕΚΤΟΜΗ ΚΑΤΩ ΡΙΝΙΚΗΣ ΚΟΓΧΗΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΚΑΘΕ ΜΕΘΟΔΟΣ",χειρουργική,80,3811,χειρουργείο,Kelly Grimes,Clayton Rodriguez,Matthew Bennett
Χ640259,ΡΙΝΕΚΤΟΜΗ. ΜΕΡΙΚΗ,χειρουργική,247,3577,χειρουργείο,Anthony Rhodes,Christina Miles,April Carson
Χ640279,ΡΙΝΕΚΤΟΜΗ. ΟΛΙΚΗ,χειρουργική,194,3186,χειρουργείο,Kristy Griffin,Tiffany Martinez,Melissa Murphy
Χ640359,"ΕΝΕΣΗ ΣΤΗΝ ΡΙΝΙΚΗ(ΕΣ) ΚΟΓΧΗ(ΕΣ), ΘΕΡΑΠΕΥΤΙΚΗ",θεραπευτική,34,585,αίθουσα επέμβασης,Ralph Henry,Calvin Rowe,Steven Johns
Χ640399,"ΕΙΣΑΓΩΓΗ, ΡΙΝΙΚΗ ΔΙΑΦΡΑΓΜΑΤΙΚΗ ΠΡΟΘΕΣΗ (ΟΠΗ)",θεραπευτική,52,470,αίθουσα επέμβασης,Mike Lewis,Alec Rojas,George Foster
Κ508781,ΕΝΔΟΦΛΕΒΙΟΣ ΟΥΡΟΓΡΑΦΙΑ,θεραπευτική,57,237,αίθουσα επέμβασης,Andrew Schwartz,Lindsey Gardner,Jennifer Cross
Κ508821,ΑΝΙΟΥΣΑ ΟΥΡΟΓΡΑΦΙΑ,θεραπευτική,31,367,αίθουσα επέμβασης,David Flores,Dillon Jones,Barbara Baird
Κ508841,ΕΝΔΟΦΛΕΒΙΟΣ ΚΥΣΤΕΟΓΡΑΦΙΑ,θεραπευτική,58,632,αίθουσα επέμβασης,Michael Cook,Evan Henry,Michelle Henderson
Κ508881,ΟΥΡΗΘΡΟΓΡΑΦΙΑ,θεραπευτική,85,872,αίθουσα επέμβασης,Cheryl Sanchez,Leonard Porter,William Daniels
Κ508931,"ΕΙΣΑΓΩΓΗ ΕΝΔΟΚΑΘΕΤΗΡΑ Ή ΚΑΘΕΤΗΡΑ ΣΤΗ ΝΕΦΡΙΚΗ ΠΥΕΛΟ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ ΚΑΙ/Ή ΕΝΕΣΗ, ΔΙΑΔΕΡΜΙΚΗ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,79,416,αίθουσα επέμβασης,Tiffany Martinez,Jared Allen,Andrew Choi
Κ508941,"ΕΙΣΑΓΩΓΗ ΟΥΡΗΤΗΡΙΚΟΥ ΚΑΘΕΤΗΡΑ Ή ΣΤΕΝΤ ΜΕΣΩ ΝΕΦΡΙΚΗΣ ΠΥΕΛΟΥ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ ΚΑΙ/Ή ΕΝΕΣΗ, ΔΙΑΔΕΡΜΙΚΗ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,89,451,αίθουσα επέμβασης,Brian Dennis,Barbara Baird,Troy Grant
Κ508951,"ΔΙΑΣΤΟΛΗ ΝΕΦΡΟΣΤΟΜΙΑΣ, ΟΥΡΗΤΗΡΩΝ, Ή ΟΥΡΗΘΡΑΣ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,36,829,αίθουσα επέμβασης,Andrew Choi,Lauren Daniels,Laura Beltran
Κ509401,"ΠΥΕΛΟΜΕΤΡΗΣΗ, ΜΕ Ή ΧΩΡΙΣ ΕΝΤΟΠΙΣΜΟ ΠΛΑΚΟΥΝΤΑ",θεραπευτική,31,336,αίθουσα επέμβασης,Clayton Rodriguez,Kristy Griffin,Joy Wood
Κ509461,ΥΣΤΕΡΟΣΑΛΠΙΓΓΟΓΡΑΦΙΑ,θεραπευτική,69,209,αίθουσα επέμβασης,John Molina,Virginia Benjamin,Jason Nelson
Κ509465,ΚΑΘΕΤΗΡΙΑΣΜΟΣ ΣΑΛΠΙΓΓΩΝ,θεραπευτική,90,497,αίθουσα επέμβασης,John Molina,Troy Grant,Elizabeth Pace
Κ511095,ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΚΑΡΔΙΑΣ ΣΕ ΗΡΕΜΙΑ,θεραπευτική,38,882,αίθουσα επέμβασης,Elizabeth Pace,Thomas Norris,Tiffany Webster
Κ511181,"ΑΟΡΤΟΓΡΑΦΙΑ, ΘΩΡΑΚΙΚΗ, ΧΩΡΙΣ ΣΕΙΡΙΟΓΡΑΦΙΑ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,41,301,αίθουσα επέμβασης,Steven Johns,Stephanie Todd,Harry Fowler
Κ511191,"ΑΟΡΤΟΓΡΑΦΙΑ, ΘΩΡΑΚΙΚΗ, ΜΕ ΣΕΙΡΙΟΓΡΑΦΙΑ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,35,305,αίθουσα επέμβασης,Andrew Choi,Rachel Ortiz,Anthony Rhodes
Κ511231,"ΑΟΡΤΟΓΡΑΦΙΑ, ΚΟΙΛΙΑΚΗ, ΜΕ ΣΕΙΡΙΟΓΡΑΦΙΑ, ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ",θεραπευτική,71,808,αίθουσα επέμβασης,Brandi Greer,Kristy Griffin,Tiffany Webster
Β303907,"ΑΚΕΤΑΛΔΕΥΔΗ, ΑΙΜΑΤΟΣ",θεραπευτική,56,426,αίθουσα επέμβασης,Shannon Walker,Vanessa Davis,Ian Wiggins
Β303913,ΑΚΕΤΑΜΙΝΟΦΕΝΗ,θεραπευτική,88,872,αίθουσα επέμβασης,George Nichols,Brandi Greer,Mike Lewis
Β303925,"ΑΚΕΤΟΝΗ Η ΑΛΛΕΣ ΚΕΤΟΝΕΣ, ΟΡΟΣ. ΠΟΙΟΤΙΚΗ",θεραπευτική,48,159,αίθουσα επέμβασης,Laura Beltran,Lisa Kane,Lori Taylor
Β303933,ΑΚΕΤΥΛΧΟΛΙΝΕΣΤΕΡΑΣΗ,θεραπευτική,59,623,αίθουσα επέμβασης,Rachel Ortiz,Mike Lewis,Stephanie Todd
Β303939,"ΚΑΡΝΙΤΙΝΕΣ. ΠΟΙΟΤΙΚΗ, ΚΑΘΕ ΕΙΔΟΣ",θεραπευτική,53,200,αίθουσα επέμβασης,John Molina,Dustin Moore,Alec Rojas
Β303941,"ΚΑΡΝΙΤΙΝΕΣ. ΠΟΣΟΤΙΚΗ, ΚΑΘΕ ΕΙΔΟΣ",θεραπευτική,31,756,αίθουσα επέμβασης,Cheryl Sanchez,Dustin Moore,Joshua Dennis
Β303955,ΑΔΡΕΝΟΚΟΡΤΙΚΟΤΡΟΠΟΣ ΟΡΜΟΝΗ (ACTH),θεραπευτική,69,732,αίθουσα επέμβασης,Phillip Wright,Matthew Cooke,John Molina
Β303967,"ΑΔΕΝΟΣΙΝΗ, 5-ΜΟΝΟΦΩΣΦΟΡΙΚΗ, ΚΥΚΛΙΚΗ (CYCLIC AMP)",θεραπευτική,35,240,αίθουσα επέμβασης,Lauren Smith,Michael Cook,Kelly Grimes
Β303987,ΛΕΥΚΩΜΑΤΙΝΗ ΟΡΟΥ,θεραπευτική,47,460,αίθουσα επέμβασης,Ashley Long,Robert Chen,Joseph Gill
Β303991,ΛΕΥΚΩΜΑΤΙΝΗ ΟΥΡΩΝ,θεραπευτική,85,709,αίθουσα επέμβασης,Kelsey Barrera,Victor Williams,Michael Turner
Β303993,"ΛΕΥΚΩΜΑΤΙΝΗ. ΟΥΡΑ, ΜΙΚΡΟΛΕΥΚΩΜΑΤΙΝΗ,ΠΟΣΟΤΙΚΗ",θεραπευτική,84,378,αίθουσα επέμβασης,Christina Miles,Jennifer Washington,Michelle Henderson
Β316525,"ΕΠΙΠΕΔΟ VI - ΧΕΙΡΟΥΡΓΙΚΗ ΠΑΘΟΛΟΓΙΚΗ ΑΝΑΤΟΜΙΚΗ, ΜΑΚΡΟΣΚΟΠΙΚΗ ΚΑΙ ΜΙΚΡΟΣΚΟΠΙΚΗ ΕΞΕΤΑΣΗ",χειρουργική,223,1706,χειρουργείο,Lindsey Gardner,Jason Nelson,Joshua Dennis
Β316529,ΔΙΑΔΙΚΑΣΙΑ ΑΦΑΛΑΤΩΣΗΣ ΑΝΕΞΑΡΤΗΤΩΣ ΟΡΓΑΝΟΥ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΝΤΙΣΤΟΙΧΗΣ ΕΞΕΤΑΣΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΠΑΘΟΛΟΓΙΚΗΣ ΑΝΑΤΟΜΙΚΗΣ),χειρουργική,172,2990,χειρουργείο,Joshua Dennis,Michael Smith,George Nichols
Β316531,"ΕΙΔΙΚΕΣ ΙΣΤΟΧΗΜΙΚΕΣ ΧΡΩΣΕΙΣ (ΕΚΑΣΤΗ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΑΠΟ ΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΑΝΤΙΣΤΟΙΧΗΣ ΕΞΕΤΑΣΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΠΑΘΟΛΟΓΙΚΗΣ ΑΝΑΤΟΜΙΚΗΣ) ΟΜΑΔΑ Ι ΓΙΑ ΜΙΚΡΟΟΡΓΑΝΙΣΜΟΥΣ (π.χ. GRIDLEY, ACID FAST, METHENAMINE SILVER, GROCOTT, WARTHIN STARY, ZIEL NIELSEN, κ.ά.)",χειρουργική,68,1676,χειρουργείο,Ashley Long,Ian Wiggins,Lisa Kane
Β316533,"ΕΙΔΙΚΕΣ ΙΣΤΟΧΗΜΙΚΕΣ ΧΡΩΣΕΙΣ (ΕΚΑΣΤΗ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΑΠΟ ΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΑΝΤΙΣΤΟΙΧΗΣ ΕΞΕΤΑΣΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΠΑΘΟΛΟΓΙΚΗΣ ΑΝΑΤΟΜΙΚΗΣ ΟΜΑΔΑ ΙI ΟΛΕΣ ΟΙ ΥΠΟΛΟΙΠΕΣ (π.χ. IRON, TRICHROME, MASSON FONTANA, ORCEIN, GRIMELIUS, PAS, PAS-διαστάση, ALCIAN BLUE-PAS, κ.ά.)",χειρουργική,295,2244,χειρουργείο,Andrew Choi,Mike Lewis,Ralph Henry
Β316535,ΕΙΔΙΚΕΣ ΙΣΤΟΧΗΜΙΚΕΣ ΧΡΩΣΕΙΣ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΑΠΟ ΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΑΝΤΙΣΤΟΙΧΗΣ ΕΞΕΤΑΣΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΠΑΘΟΛΟΓΙΚΗΣ ΑΝΑΤΟΜΙΚΗΣ) ΣΕ ΤΟΜΕΣ ΚΡΥΟΣΤΑΤΗ,χειρουργική,196,1104,χειρουργείο,Jose Spencer,Nancy Burke,Ashley Long
Β316543,"ΠΡΟΣΔΙΟΡΙΣΤΙΚΗ ΙΣΤΟΧΗΜΕΙΑ ΓΙΑ ΤΗΝ ΤΥΠΟΠΟΙΗΣΗ ΧΗΜΙΚΩΝ ΣΥΣΤΑΤΙΚΩΝ (π.χ. ΧΑΛΚΟΣ, ΨΕΥΔΑΡΓΥΡΟΣ, Fe, κ.ά.) ΕΚΑΣΤΗ",θεραπευτική,77,608,αίθουσα επέμβασης,Lisa Kane,William Steele,John Gonzales
