Medicine_Name,Active_Substance
Blincyto,blinatumomab
Roctavian,valoctocogene roxaparvovec
Zvogra,denosumab
Abiraterone Accord,abiraterone acetate
Stoboclo,denosumab
Rydapt,Midostaurin
Aranesp,darbepoetin alfa
Welireg,belzutifan
Mavenclad,cladribine
Inrebic,fedratinib dihydrochloride monohydrate
GalenVita,germanium (68Ge) chloride;gallium (68Ga) chloride
Voydeya,danicopan
Entresto,sacubitril;valsartan
Neparvis,sacubitril;valsartan
Celsentri,maraviroc
Hetronifly,serplulimab
Bosulif,bosutinib (as monohydrate)
Abilify,aripiprazole
Xeljanz,tofacitinib
Usymro,ustekinumab
Bilprevda,denosumab
Tolvaptan Accord,tolvaptan
Onureg,azacitidine
Praluent,alirocumab
Ayvakyt,avapritinib
Nurzigma,pridopidine hydrochloride
Tysabri,natalizumab
Harvoni,ledipasvir;sofosbuvir
Sovaldi,sofosbuvir
Rimmyrah,ranibizumab
Ecovaxxin MS,"Mycoplasma synoviae, strain K588A, Live"
Reagila,cariprazine hydrochloride
Xalkori,crizotinib
Cancidas (previously Caspofungin MSD),caspofungin (as acetate)
Wayrilz,rilzabrutinib
Cabazitaxel Accord,cabazitaxel
Olanzapine Viatris (previously Olanzapine Mylan),olanzapine
Norvir,ritonavir
Vaxxinact H5,"Avian influenza virus, subtype H5, haemagglutinin (recombinant)"
Voraxaze,glucarpidase
Kuvan,sapropterin dihydrochloride
Obodence,denosumab
Tyverb,lapatinib
Imlygic,talimogene laherparepvec
Ofev,nintedanib
Spedra,avanafil
Vabysmo,Faricimab
Veklury,remdesivir
Vaxneuvance,pneumococcal polysaccharide conjugate vaccine (adsorbed)
Voriconazole Hikma (previously Voriconazole Hospira),voriconazole
Levetiracetam Sun,levetiracetam
Jalra,vildagliptin
Junod,denosumab
Telzir,fosamprenavir calcium
Granupas (previously Para-aminosalicylic acid Lucane),para-aminosalicylic acid
Xiliarx,vildagliptin
Tasigna,nilotinib
Fabhalta,iptacopan hydrochloride monohydrate
Attrogy,diflunisal
Replagal,agalsidase alfa
Tuzulby,methylphenidate hydrochloride
Leflunomide medac,leflunomide
Yargesa,miglustat
Simulect,basiliximab
Macitentan AccordPharma,macitentan
Methylthioninium chloride Proveblue,methylthioninium chloride
Ruconest,recombinant human C1-inhibitor
Altuvoct,Efanesoctocog alfa
Pirfenidone Viatris,Pirfenidone
Macitentan Accord,macitentan
Puregon,follitropin beta
Fetcroja,cefiderocol sulfate tosilate
RotaTeq,rotavirus serotype G1;rotavirus serotype G2;rotavirus serotype G3;rotavirus serotype G4;rotavirus serotype P1
Orgalutran,ganirelix
Absimky,ustekinumab
Cosentyx,secukinumab
Leflunomide ratiopharm,leflunomide
Mepact,mifamurtide
Azacitidine Kabi,azacitidine
Breyanzi,lisocabtagene maraleucel
Invokana,canagliflozin
Ziihera,zanidatamab
Trumenba,Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily A; Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily B
Lucentis,ranibizumab
"Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals)","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)"
Rapiscan,regadenoson
Rivaroxaban Koanaa,rivaroxaban
Ngenla,somatrogon
Matever,levetiracetam
Seffalair Spiromax,fluticasone propionate;salmeterol xinafoate
Omforro,Midazolam Hydrochloride
Erelzi,etanercept
Ventavis,iloprost
Cyanokit,hydroxocobalamin
Cholib,fenofibrate;simvastatin
Libmeldy,atidarsagene autotemcel
Coagadex,human coagulation factor X
Remicade,infliximab
Repatha,Evolocumab
Levetiracetam Hospira,levetiracetam
Clopidogrel Viatris (previously Clopidogrel Taw Pharma),clopidogrel besilate
Synagis,palivizumab
Azacitidine Mylan,azacitidine
Imaavy,nipocalimab
Prevymis,Letermovir
Tobi Podhaler,tobramycin
Afstyla,lonoctocog alfa
Pifeltro,doravirine
Hyrimoz,adalimumab
Aimovig,erenumab
Livogiva,teriparatide
Kovaltry,octocog alfa
Eydenzelt,aflibercept
Sirolimus TriviumVet,sirolimus
Rizmoic,naldemedine tosilate
Carbaglu,carglumic acid
Inbrija,levodopa
Anzupgo,Delgocitinib
Kimmtrak,tebentafusp
Levetiracetam Accord,levetiracetam
Dacogen,decitabine
Aubagio,teriflunomide
Eviplera,emtricitabine;rilpivirine hydrochloride;tenofovir disoproxil fumarate
Abecma,idecabtagene vicleucel
Caprelsa,vandetanib
Neulasta,pegfilgrastim
Symkevi,tezacaftor;ivacaftor
Xermelo,telotristat etiprate
Filspari,sparsentan
Lyfnua,gefapixant
Eucreas,vildagliptin;metformin hydrochloride
Ravicti,glycerol phenylbutyrate
Adynovi,rurioctocog alfa pegol
Icandra (previously Vildagliptin / metformin hydrochloride Novartis),vildagliptin;metformin hydrochloride
Zomarist,vildagliptin;metformin hydrochloride
Firocoxib CP-Pharma,firocoxib
Jivi,Damoctocog alfa pegol
Sogroya,somapacitan
Dengvaxia,"chimeric yellow fever dengue virus serotype 1 (live, attenuated);chimeric yellow fever dengue virus serotype 2 (live, attenuated);chimeric yellow fever dengue virus serotype 3 (live, attenuated);chimeric yellow fever dengue virus serotype 4 (live, attenuated)"
Paxlovid,nirmatrelvir;ritonavir
Brinsupri,Brensocatib monohydrate
Tuzodi,Midazolam Hydrochloride
Hetlioz,tasimelteon
Sunitinib Accord,sunitinib
Tryngolza,olezarsen sodium
Baraclude,Entecavir
Delstrigo,doravirine;lamivudine;tenofovir disoproxil fumarate
Incellipan,"Influenza virus A/turkey/Turkey/1/2005 (H5N1) NIBRG-23 strain, HA surface antigen"
NexoBrid,proteolytic enzymes enriched in bromelain
Enhertu,trastuzumab deruxtecan
Adempas,riociguat
Protopic,tacrolimus
Oczyesa,octreotide hydrochloride
Ontozry,cenobamate
Kaletra,lopinavir;ritonavir
Pregabalin Sandoz,pregabalin
Izamby,denosumab
Krazati,adagrasib
Upstaza,Eladocagene exuparvovec
Rasagiline Viatris (previously Rasagiline Mylan),rasagiline tartrate
Benepali,etanercept
Xelevia,sitagliptin
Cerezyme,imiglucerase
Velmetia,sitagliptin;metformin hydrochloride
Zinplava,Bezlotoxumab
Efficib,sitagliptin;metformin hydrochloride
Tesavel,sitagliptin
Kyprolis,carfilzomib
Hemosyvet,Etamsylate
Atropine sulfate FGK,atropine sulfate
Byfavo,remimazolam besilate
Talvey,talquetamab
Memantine Mylan,memantine hydrochloride
Fingolimod Mylan,Fingolimod
Rinvoq,upadacitinib
Rolcya,denosumab
Jubbonti,denosumab
Librela,bedinvetmab
Lenivia,izenivetmab
Metalyse,tenecteplase
Lynkuet,elinzanetant
Rubraca,rucaparib camsylate
Celdoxome pegylated liposomal,doxorubicin hydrochloride
Qarziba (previously Dinutuximab beta EUSA and Dinutuximab beta Apeiron),Dinutuximab beta
Zejula,niraparib (tosilate monohydrate)
Hydrocortisone Aguettant,hydrocortisone
Refixia,nonacog beta pegol
Vaxxitek HVT+IBD+H5,"Turkey herpesvirus, strain rHVT-IBD-H5 (cell-associated), expressing the VP2 protein gene of Infectious bursal disease virus and haemagglutinin gene of Avian influenza virus subtype H5, live"
Tukysa,tucatinib
Accofil,filgrastim
Zynlonta,loncastuximab tesirine
Pedea,Ibuprofen
Brukinsa,zanubrutinib
Sirturo,bedaquiline fumarate
Lupkynis,voclosporin
Reblozyl,Luspatercept
Hizentra,human normal immunoglobulin (SCIg)
Denbrayce,denosumab
Ebvallo,tabelecleucel
Steglujan,ertugliflozin l-pyroglutamic acid;sitagliptin phosphate monohydrate
Segluromet,ertugliflozin l-pyroglutamic acid;metformin hydrochloride
Invanz,ertapenem sodium
Obizur,susoctocog alfa
Yervoy,Ipilimumab
Pyzchiva,ustekinumab
Eiyzey,aflibercept
Yselty,linzagolix choline
Afinitor,everolimus
Votubia,everolimus
Maviret,glecaprevir;pibrentasvir
Xydalba,dalbavancin hydrochloride
Atectura Breezhaler,indacaterol acetate;mometasone furoate
Enerzair Breezhaler,indacaterol;glycopyrronium bromide;mometasone
Gobivaz,golimumab
Dafiro,amlodipine;valsartan
Copalia,valsartan;amlodipine (as amlodipine besilate)
Exforge,valsartan;amlodipine (as amlodipine besilate)
Synjardy,empagliflozin;metformin
Descovy,emtricitabine;tenofovir alafenamide
Viread,tenofovir disoproxil fumarate
Hirobriz Breezhaler,indacaterol maleate
Oslif Breezhaler,indacaterol maleate
Onbrez Breezhaler,indacaterol maleate
Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan,efavirenz;emtricitabine;tenofovir disoproxil maleate
Prevenar 20 (previously Apexxnar),Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 8;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 10A;Pneumococcal polysaccharide serotype 11A;pneumococcal polysaccharide serotype 12F;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 15b;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 22F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 33F
Truvada,emtricitabine;tenofovir disoproxil fumarate
Omlyclo,omalizumab
Voxzogo,vosoritide
Ozawade,pitolisant
Ristfor,sitagliptin;metformin hydrochloride
Awiqli,insulin icodec
Isentress,raltegravir
Ivabradine Anpharm,ivabradine
Corlentor,ivabradine hydrochloride
Procoralan,ivabradine hydrochloride
Imreplys,sargramostim
Anagrelide Viatris (previously Anagrelide Mylan),anagrelide hydrochloride
Ondexxya,andexanet alfa
Ranivisio,ranibizumab
Epruvy (previously Ranibizumab Midas),ranibizumab
Kizfizo,temozolomide
Ohtuvayre,ensifentrine
Insulin Aspart Injection,insulin aspart
Enzalutamide Accordpharma,enzalutamide
Juluca,dolutegravir sodium;rilpivirine hydrochloride
Tivicay,dolutegravir
Zavicefta,avibactam sodium;ceftazidime pentahydrate
Mekinist,trametinib
Sitagliptin / Metformin hydrochloride Accord,metformin hydrochloride;sitagliptin hydrochloride monohydrate
Efient,prasugrel
Janumet,sitagliptin;metformin hydrochloride
Lutathera,lutetium (177Lu) oxodotreotide
Eyluxvi,aflibercept
Glivec,imatinib
Datopotamab deruxtecan Daiichi Sankyo,datopotamab deruxtecan
Slenyto,melatonin
Jakavi,ruxolitinib phosphate
Tecovirimat SIGA,tecovirimat
Sitagliptin SUN,sitagliptin fumarate
Flixabi,infliximab
Dectova,zanamivir
Rezdiffra,resmetirom
HBVaxPro,"hepatitis B, recombinant surface antigen"
Baiama,aflibercept
Ahzantive,aflibercept
Cubicin,daptomycin
Zepatier,elbasvir;grazoprevir
Bridion,sugammadex
Temodal,temozolomide
Quadramet,samarium (153Sm) lexidronam pentasodium
Duavive,oestrogens conjugated;bazedoxifene
Lenalidomide Mylan,lenalidomide
Kymriah,tisagenlecleucel
Xoanacyl,ferric citrate coordination complex
Pregabalin Viatris Pharma (previously Pregabalin Pfizer),pregabalin
Pegasys,peginterferon alfa-2a
Beyonttra,acoramidis hydrochloride
Portela,relfovetmab
Mektovi,binimetinib
Braftovi,Encorafenib
Ivemend,fosaprepitant
Rekambys,rilpivirine
Piqray,alpelisib
Vgenfli,aflibercept
Bravecto TriUNO,fluralaner;moxidectin;pyrantel
Spexotras,trametinib dimethyl sulfoxide
Myalepta,Metreleptin
Zurzuvae,zuranolone
Januvia,sitagliptin
Syfovre,
Elonva,corifollitropin alfa
Teysuno,tegafur;gimeracil;oteracil
Ristaben,sitagliptin
Orkambi,Lumacaftor;ivacaftor
M-M-RVaxPro,"measles virus Enders’ Edmonston strain (live, attenuated);mumps virus Jeryl Lynn (level B) strain (live, attenuated);rubella virus Wistar RA 27/3 strain (live, attenuated)"
Vocabria,cabotegavir sodium;cabotegravir
Zimbus Breezhaler,glycopyrronium bromide;Indacaterol (acetate);mometasone furoate
Lytgobi,Futibatinib
Rybrevant,amivantamab
Phesgo,pertuzumab;trastuzumab
Votrient,pazopanib
Abilify Maintena,aripiprazole
Multaq,dronedarone
Fanskya,mozafancogene autotemcel
Lemtrada,alemtuzumab
Elzonris,tagraxofusp
Emend,aprepitant
Venclyxto,venetoclax
Ozurdex,dexamethasone
Columvi,Glofitamab
Siiltibcy,Mycobacterium tuberculosis derived antigens (rdESAT‑6 and rCFP‑10)
Amtagvi,lifileucel
Vimizim,recombinant human n-acetylgalactosamine-6-sulfatase
Camzyos,Mavacamten
Prolia,denosumab
Tygacil,tigecycline
Livtencity,Maribavir
Insulin Human Rechon,Insulin human
Amsparity,adalimumab
Zonisamide Viatris (previously Zonisamide Mylan),zonisamide
Ultomiris,ravulizumab
Tezspire,tezepelumab
Voriconazole Accord,voriconazole
Aqumeldi,Enalapril (maleate)
Idacio,adalimumab
Gardasil,human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein
Herwenda,trastuzumab
MiPet Easecto,sarolaner
Elevidys,delandistrogene moxeparvovec
Imvanex,modified vaccinia Ankara - Bavarian Nordic (MVA-BN) virus
Diacomit,stiripentol
Polivy,polatuzumab vedotin
Avonex,interferon beta-1a
Zycortal,desoxycortone pivalate
Zulvac SBV,"inactivated Schmallenberg virus, strain BH80/11-4"
Zenalpha,medetomidine hydrochloride;vatinoxan hydrochloride
Virbagen Omega,recombinant omega interferon of feline origin
Veraflox,pradofloxacin
Vepured,recombinant Verotoxin 2e of E. coli
Vectra Felis,pyriproxyfen;dinotefuran
Vectormune FP ILT + AE,"live recombinant fowlpox virus expressing the membrane fusion protein and the encapsidation protein of avian infectious laryngotracheitis virus (rFP-LT) and avian encephalomyelitis virus, strain Calnek 1143 (AE)"
Zutectra,human hepatitis B immunoglobulin
Nplate,romiplostim
Zulvac BTV,"one of the following inactivated bluetongue virus strains:Inactivated bluetongue virus, serotype 1, strain BTV-1/ALG2006/01 E1Inactivated bluetongue virus, serotype 8, strain BTV-8/BEL2006/02Inactivated bluetongue virus, serotype 4, strain SPA-1/2004"
Zulvac 1+8 Ovis,"inactivated bluetongue virus, serotype 1, strain BTV-1/ALG2006/01;inactivated bluetongue virus, serotype 8, strain btv-8/bel2006/02"
Zulvac 1+8 Bovis,"inactivated bluetongue virus, serotype 1, strain BTV-1/ALG2006/01 E1 RP;inactivated bluetongue virus, serotype 8, strain btv-8/bel2006/02"
Zulvac 8 Ovis,"inactivated bluetongue virus, serotype 8, strain btv-8/bel2006/02"
VarroMed,oxalic acid dihydrate;formic acid
UpCard,torasemide anhydrous
Ultifend ND IBD,"turkey herpes virus, strain rHVT/ND/IBD, expressing the fusion protein of Newcastle disease virus and the VP2 protein of infectious bursal disease virus, live recombinant"
Suvaxyn Circo,"porcine circovirus vaccine (inactivated, recombinant)"
Suvaxyn Circo+MH RTU,"inactivated recombinant chimeric porcine circovirus type 1 containing the porcine circovirus type 2 ORF2 protein;Inactivated Mycoplasma hyopneumoniae, strain P-5722-3"
Suiseng Diff/A,"Clostridioides difficile toxoid A;Clostridioides difficile toxoid B;Clostridium perfringens, type A, alpha toxoid"
Stelfonta,tigilanol tiglate
Sevohale (previously Sevocalm),sevoflurane
Sedadex,Dexmedetomidine hydrochloride
Rabitec,"attenuated live rabies vaccine virus, strain SPBN GASGAS"
Bortezomib Sun,bortezomib
Ubac,"Lipoteichoic acid from Biofilm Adhesion Component of Streptococcus uberis, strain 5616"
Tulissin,tulathromycin
Tulinovet,tulathromycin
Tulaven,tulathromycin
Menveo,"meningococcal group A, C, W-135 and Y conjugate vaccine"
Rabigen SAG2,"live attenuated rabies virus, SAG2 strain"
Rhiniseng,"inactivated Bordetella bronchiseptica, strain 833CER;recombinant type-D Pasteurella-multocida toxin"
Rexxolide,tulathromycin
Respiporc FLUpan H1N1,"Influenza A virus/human strain: A/Jena/VI5258/2009 (H1N1)pdm09, inactivated"
Arikayce liposomal,amikacin sulfate
Quadrisol,vedaprofen
Okedi,risperidone
Respiporc Flu3,inactivated influenza-A virus / swine
ReproCyc ParvoFLEX,"Porcine parvovirus, strain 27a, viral protein 2"
Reconcile,fluoxetine
ProZinc,Insulin human
Evusheld,tixagevimab;cilgavimab
Profender,emodepside;praziquantel
Procox,emodepside;toltrazuril
Prevomax,maropitant
Oxlumo,Lumasiran sodium
Mycamine,micafungin
Prac-tic,pyriprole
Posatex,orbifloxacin;mometasone furoate;posaconazole
Teriparatide Sun,teriparatide
Novem,meloxicam
Oncept IL-2,"Canarypox virus, strain vCP1338, expressing feline interleukin-2 gene, Live"
Osurnia,betamethasone acetate;terbinafine;florfenicol
Nobilis IB Primo QX,"live avian infectious bronchitis virus, strain D388"
Nobivac Bb,live Bordetella bronchiseptica bacteria strain B-C2
Novaquin,meloxicam
Porcilis Porcoli Diluvac Forte (previously Porcilis Porcoli),F4ab (K88ab) fimbrial adhesin;F4ac (K88ac) fimbrial adhesin;F5 (K99) fimbrial adhesin;F6 (987P) fimbrial adhesin;LT toxoid
Porcilis AR-T DF,protein dO (non-toxic deletion derivative of Pasteurella multocida dermonecrotic toxin);inactivated Bordetella bronchiseptica cells
Melosus,meloxicam
Meloxidolor,meloxicam
Meloxidyl,meloxicam
Pexion,imepitoin
Loxicom,meloxicam
Lydaxx,tulathromycin
Masivet,Masitinib mesilate
Fulvestrant Mylan,fulvestrant
Nasym,"live attenuated bovine respiratory syncytial virus (BRSV), strain Lym-56"
MS-H Vaccine,Mycoplasma synoviae strain MS-H
Mirataz,mirtazapine
Adasuve,loxapine
Memantine Accord,memantine hydrochloride
Neptra,florfenicol;terbinafine hydrochloride;mometasone furoate
OvuGel,triptorelin acetate
Oxyglobin,haemoglobin glutamer-200 (bovine)
Zadenvi,denosumab
Locatim (previously Serinucoli),Bovine concentrated lactoserum containing specific immunoglobulins G against E. coli F5 (K99) adhesin
Letifend,recombinant protein Q from Leishmania infantum MON-1
Kriptazen,halofuginone
Ingelvac CircoFLEX,porcine circovirus type 2 ORF2 protein
Azacitidine Accord,azacitidine
Inflacam,meloxicam
Briumvi,ublituximab
Tecvayli,teclistamab
Isemid,torasemide
Ekterly,sebetralstat
Bemrist Breezhaler,indacaterol;mometasone furoate
Selincro,nalmefene hydrochloride dihydrate
Benlysta,belimumab
Halocur,halofuginone
Galliprant,grapiprant
Halagon,
Aplidin,plitidepsin
Rixathon,rituximab
Capvaxive,"pneumococcal polysaccharide serotype 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A, 15B de-O-acetylated, 16F, 17F, 19A, 20A, 22F, 23A, 23B, 24F, 31, 33F and 35B conjugated to CRM197 carrier protein"
Tyenne,tocilizumab
Takhzyro,lanadelumab
Nidlegy,bifikafusp alfa;onfekafusp alfa
Farydak,panobinostat lactate anhydrous
Deferasirox Accord,deferasirox
Sitagliptin / Metformin hydrochloride Mylan,sitagliptin hydrochloride monohydrate;metformin hydrochloride
Maapliv,"glycine,L-alanine,L-arginine,L-aspartic acid,L-cysteine hydrochloride monohydrate,L-histidine,L-methionine,L-phenylalanine,L-proline,L-serine,L-threonine,L-tryptophan,L-tyrosine,L-glutamic acid,L-lysine monohydrate,taurine"
Jevtana,cabazitaxel
Riltrava Aerosphere,Budesonide;formoterol fumarate dihydrate;glycopyrronium bromide
Orgovyx,relugolix
Hexyon,"filamentous haemagglutinin;Haemophilus influenzae type B polysaccharide (polyribosylribitol phosphate);hepatitis B surface antigen;pertussis toxoid;poliovirus (inactivated) type 1 (Mahoney strain) produced on Vero cells;poliovirus (inactivated) type 2 (MEF-1 strain) produced on Vero cells;poliovirus (inactivated) type 3 (Saukett strain) produced on Vero cells;tetanus protein;tetanus toxoid adsorbed on aluminium hydroxide, hydrated;Diphtheria toxoid"
Hexacima,hepatitis B surface antigen;Diphtheria toxoid;Bordetella pertussis antigens Pertussis Toxoid Filamentous Haemagglutinin;poliovirus (inactivated) type 1 (Mahoney) type 2 (MEF-1) type 3 (Saukett);Haemophilus influenzae type b polysaccharide (Polyribosylribitol Phosphate) conjugated to Tetanus protein;tetanus toxoid
Deferasirox Mylan,deferasirox
Zefylti,filgrastim
Truxima,rituximab
Empliciti,Elotuzumab
ellaOne,ulipristal
Blitzima,rituximab
Ibandronic acid Accord,ibandronic acid
Tigecycline Accord,tigecycline
Prasugrel Viatris (previously Prasugrel Mylan),prasugrel besilate
Grastofil,filgrastim
Alhemo,concizumab
Zoledronic acid Teva,zoledronic acid
Equilis EHV 1+4,"equine herpesvirus 1, strain RAC-H and equine herpesvirus 4, strain 2252"
Xaluprine (previously Mercaptopurine Nova Laboratories),6-mercaptopurine monohydrate
Karvezide,irbesartan;hydrochlorothiazide
CoAprovel,irbesartan;hydrochlorothiazide
Padcev,Enfortumab vedotin
ProQuad,"virus, live attenuated, measles, virus, live attenuated, mumps, virus, live attenuated, rubella, virus, live attenuated, varicella"
Riulvy,tegomil fumarate
Ixchiq,"Chikungunya virus, strain CHIKV LR2006-OPY1, live attenuated"
Vaxchora,"vibrio cholerae, strain cvd 103-hgr, live"
Olanzapine Apotex,olanzapine
Calquence,acalabrutinib;acalabrutinib maleate
Ordspono,odronextamab
Trixeo Aerosphere,formoterol fumarate dihydrate;glycopyrronium bromide;Budesonide
Zonegran,zonisamide
Ogluo,Glucagon
Viagra,sildenafil
Revatio,sildenafil
Bomyntra,denosumab
Mylotarg,gemtuzumab ozogamicin
Besponsa,Inotuzumab ozogamicin
Baqsimi,Glucagon
Emselex,darifenacin hydrobromide
Thalidomide Lipomed,thalidomide
Locametz,gozetotide
Velsipity,Etrasimod arginine
Axitinib Accord,axitinib
Champix,varenicline
Nilotinib Accord,nilotinib
Rukobia,fostemsavir trometamol
Ryjunea,atropine sulfate
Spravato,esketamine hydrochloride
Hemlibra,emicizumab
Tasmar,tolcapone
Zinforo,ceftaroline fosamil
Revlimid,lenalidomide
Ecalta,anidulafungin
Equisolon,prednisolone
Equioxx,firocoxib
Equilis West Nile,inactivated chimaeric flavivirus strain YF-WN
Fungitraxx,Itraconazole
Fortekor Plus,benazepril hydrochloride;pimobendan
Felpreva,emodepside;praziquantel;tigolaner
Fatrovax RHD,rabbit hemorrhagic disease virus 2 VP1AB;rabbit hemorrhagic disease virus VP1A
Evant,"Eimeria maxima, strain 013;Eimeria mitis, strain 006;Eimeria praecox, strain 007;Eimeria tenella, strain 004"
Evalon,vaccine against coccidiosis in chickens
Eurican Herpes 205,Canine herpesvirus (F205 strain) antigens
Eryseng,"Erysipelothrix rhusiopathiae, strain R32E11 (inactivated)"
Eryseng Parvo,"porcine parvovirus, strain NADL-2 and Erysipelothrix rhusiopathiae, strain R32E11 (inactivated)"
Procysbi,mercaptamine bitartrate
Eksunbi,ustekinumab
Yaxwer,denosumab
Sunosi,solriamfetol hydrochloride
Equilis StrepE,live deletion-mutant Streptococcus equi strain TW928
Enteroporc Coli AC,inactivated fimbrial adhesins of Escherichia coli;clostridium perfringens type A/C toxoids
Emdocam,meloxicam
Econor,valnemulin
Easotic,gentamicin sulfate;hydrocortisone aceponate;miconazole nitrate
Draxxin,tulathromycin
Cortavance,hydrocortisone aceponate
Contacera,meloxicam
Coliprotec F4/F18,Live non-pathogenic Escherichia coli O141:K94 (F18ac) and O8:K87 (F4ac)
Clynav,pUK-SPDV-poly2#1 DNA plasmid coding for salmon pancreas disease virus proteins
Clomicalm,clomipramine hydrochloride
Eurartesim,piperaquine tetraphosphate;artenimol
Clevor,ropinirole hydrochloride
Chanhold,selamectin
Baycox Iron,Iron(iii) ion;toltrazuril
Lokelma,sodium zirconium cyclosilicate
Ebilfumin,oseltamivir
Syvazul BTV,"Inactivated bluetongue virus, serotype 1, strain ALG2006/01 E1;Inactivated bluetongue virus, serotype 4, strain BTV-4/SPA-1/2004;Inactivated bluetongue virus, serotype 8, strain BEL2006/01"
Syvazul BTV 3,"bluetongue virus, serotype 3, BTV-3/NET2023, inactivated"
Daxocox,enflicoxib
Nobivac LeuFel,purified Rp-45 FeLV-envelope antigen
Nobivac Myxo-RHD Plus,Live myxoma vectored RHD virus strain 009;Live myxoma vectored RHD virus strain MK1899
Leucogen,purified p45 FeLV-envelope antigen
Eravac,"inactivated rabbit haemorrhagic disease type 2 virus (RHDV2), strainV-1037"
Startvac,"Escherichia coli J5 inactivated;staphylococcus aureus (CP8) strain SP 140 inactivated, expressing slime-associated antigenic complex"
Suvaxyn CSF Marker,Live Recombinant E2 gene-deleted bovine viral diarrhoea virus containing classical swine fever virus E2 gene (CP7_E2alf)
NexGard,afoxolaner
Nexgard Spectra,afoxolaner;milbemycin oxime
Fluralaner Intervet,fluralaner
Innovax-ND-IBD-ILT,"turkey herpesvirus strain HVT/ND/IBD/ILT (cell-associated), expressing the fusion protein gene of Newcastle disease virus, the VP2 protein gene of infectious bursal disease virus and the glycoproteins gD and gI genes of infectious laryngotracheitis virus, live"
Nobilis Multriva Gm+REOm,"inactivated avian reovirus strain ARV-1;inactivated avian reovirus strain ARV-4;inactivated infectious bursal disease virus, strain 89/03;Inactivated infectious bursal disease virus, strain GB02"
Nobilis Multriva IBm+ND,"inactivated avian infectious bronchitis virus, type Massachusetts, strain M41;inactivated avian infectious bronchitis virus, type 793/B, strain 4-91;Newcastle disease virus, strain Ulster, inactivated"
Bravecto CombiUNO,fluralaner;milbemycin oxime
Zenrelia,ilunocitinib
Numelvi,atinvicitinib
Jcovden (previously COVID-19 Vaccine Janssen),adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S)
Nintedanib Accord,nintedanib
Talzenna,talazoparib
Nubeqa,darolutamide
Rivaroxaban Accord,rivaroxaban
Zolgensma,onasemnogene abeparvovec
Sarclisa,Isatuximab
Tabrecta,capmatinib dihydrochloride monohydrate
Laventair Ellipta (previously Laventair),umeclidinium bromide;vilanterol
Kyntheum,brodalumab
Betmiga,Mirabegron
Pregabalin Accord,pregabalin
Felisecto Plus,selamectin;sarolaner
Iscover,clopidogrel
Dimethyl fumarate Accord,dimethyl fumarate
Galafold,migalastat hydrochloride
Vimkunya,"Chikungunya virus (CHIKV) virus-like particle (VLP) proteins (capsid protein (C) and envelope proteins E1 and E2) derived from CHIKV Senegal strain 37997 produced in human embryonic kidney cells by recombinant DNA technology, adsorbed on aluminium hydroxide, hydrated"
Ninlaro,ixazomib citrate
Trodelvy,sacituzumab govitecan
Fampyra,Fampridine
Esmya,ulipristal acetate
Raxone,idebenone
Aucatzyl,obecabtagene autoleucel
Fluenz Tetra,"A/Darwin/9/2021 (H3N2) - like strain (A/Norway/16606/2021, MEDI 355293) / A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/1/2020, MEDI 340505) / B/Austria/1359417/2021 - like strain (B/Austria/1359417/2021, MEDI 355292) / B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, MEDI 306444)"
Sixmo,buprenorphine hydrochloride
Amvuttra,vutrisiran sodium
Exparel liposomal,bupivacaine
Stribild,elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil fumarate
Wyost,denosumab
Instanyl,Fentanyl citrate
Chenodeoxycholic acid Leadiant (previously Chenodeoxycholic acid sigma-tau),chenodeoxycholic acid
Enbrel,etanercept
Dyrupeg,pegfilgrastim
Targretin,bexarotene
Naveruclif,paclitaxel
Zometa,zoledronic acid;zoledronic acid monohydrate
Jinarc,tolvaptan
Cystadrops,mercaptamine hydrochloride
Zebinix,eslicarbazepine acetate
Riximyo,rituximab
Omnitrope,somatropin
Docetaxel Kabi,docetaxel
