id_farmakou,onoma_farmakou,energi_ousia
47328,Edoxaban Tosylate Monohydrate Viatris,Edoxaban Tosylate Monohydrate
47329,Edoxaban Tosylate Monohydrate Viatris,Edoxaban Tosylate Monohydrate
47330,Edoxaban Tosylate Monohydrate Viatris,Edoxaban Tosylate Monohydrate
47331,Edoxaban Viatris,Edoxaban Tosylate Monohydrate
47332,Edoxaban Wh,Edoxaban
47333,Edoxaban Zentiva,Edoxaban
47334,Edoxaban Zentiva,Edoxaban
47335,Edoxaban Zentiva,Edoxaban
47336,Edoxaban Zentiva,Edoxaban
47337,Edoxaban Zentiva,Edoxaban
47338,Edoxaban Zentiva,Edoxaban
47339,Edoxaban Zentiva,Edoxaban
47340,Edoxaban Zentiva,Edoxaban
47341,Edoxaban Zentiva,Edoxaban
47342,Edoxaban Zentiva,Edoxaban
47343,Edoxaban Zentiva,Edoxaban
47344,Edoxaban Zentiva,Edoxaban
47345,Edoxaban Zentiva,Edoxaban
47346,Edoxaban Zentiva,Edoxaban
47347,Edoxaban Zentiva Pharma,Edoxaban
47348,Edoxaban Zentiva Pharma Uk,Edoxaban
47349,Edoxabano Bluepharma,Edoxaban
47350,Edoxabano Kern Pharma,Edoxaban
47351,Edoxabano Krka,Edoxaban
47352,Edoxabano Ratiopharm,Edoxaban
47353,Edoxabano Tad,Edoxaban
47354,Edoxabano Teva,Edoxaban
47355,Edoxabano Zentiva,Edoxaban
47356,Edrocont,"Drospirenone, Ethinylestradiol"
47357,Edrocont,"Drospirenone, Ethinylestradiol"
47358,Edronax,Reboxetine
47359,Edronax,Reboxetine
47360,Edronax,Reboxetine
47361,Edronax,Reboxetine
47362,Edronax,Reboxetine
47363,Edronax,Reboxetine
47364,Edronax,Reboxetine
47365,Edronax,Reboxetine
47366,Edronax,Reboxetine
47367,Edronax,Reboxetine
47368,Edronax,Reboxetine Methanesulfonate
47369,Eductyl Adultes,"Potassium Hydrogen Tartrate, Sodium Hydrogen Carbonate"
47370,Eductyl Adultes,"Potassium Hydrogen Tartrate, Sodium Hydrogen Carbonate"
47371,Eductyl Enfants,"Potassium Hydrogen Tartrate, Sodium Hydrogen Carbonate"
47372,Eductyl Enfants,"Potassium Hydrogen Tartrate, Sodium Hydrogen Carbonate"
47373,Eduelym,"Timolol Maleate, Bimatoprost"
47374,Eduelym,"Timolol Maleate, Bimatoprost"
47375,Eduelym,"Timolol Maleate, Bimatoprost"
47376,Eduelym,"Timolol Maleate, Bimatoprost"
47377,Edufil,Formoterol Fumarate
47378,Edunix,Hydromorphone Hydrochloride
47379,Edunix,Hydromorphone Hydrochloride
47380,Edurant,Rilpivirine
47381,Edurant,Rilpivirine
47382,Edurant,Rilpivirine
47383,Edurant,Rilpivirine
47384,Efacti,Ivermectin
47385,Efastad,Venlafaxine
47386,Efastad,Venlafaxine
47387,Efastad,Venlafaxine
47388,Efastad,Venlafaxine Hydrochloride
47389,Efavemten,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47390,"Efavirenz ""sandoz""",Efavirenz
47391,Efavirenz + Emtricitabina + Tenofovir Generis,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47392,Efavirenz + Emtricitabina + Tenofovir Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47393,Efavirenz + Emtricitabine + Tenofovir Disoproxil Aurovitas,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47394,Efavirenz Accord,Efavirenz
47395,Efavirenz Accord,Efavirenz
47396,Efavirenz Amarox,Efavirenz
47397,Efavirenz Arrow,Efavirenz
47398,Efavirenz Aurobindo,Efavirenz
47399,Efavirenz Aurobindo,Efavirenz
47400,Efavirenz Aurobindo,Efavirenz
47401,Efavirenz Aurobindo,Efavirenz
47402,Efavirenz Aurobindo,Efavirenz
47403,Efavirenz Aurobindo,Efavirenz
47404,Efavirenz Aurobindo,Efavirenz
47405,Efavirenz Aurovitas,Efavirenz
47406,Efavirenz E Emtricitabina E Tenofovir Disoproxil Aurobindo,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47407,Efavirenz Farmoz,Efavirenz
47408,Efavirenz Generics [uk],Efavirenz
47409,Efavirenz Medical Valley,Efavirenz
47410,Efavirenz Medical Valley,Efavirenz
47411,Efavirenz Medicopharm,Efavirenz
47412,Efavirenz Milpharm,Efavirenz
47413,Efavirenz Mylan,Efavirenz
47414,Efavirenz Mylan,Efavirenz
47415,Efavirenz Sandoz,Efavirenz
47416,Efavirenz Sandoz,Efavirenz
47417,Efavirenz Sandoz,Efavirenz
47418,Efavirenz Sandoz,Efavirenz
47419,Efavirenz Sandoz,Efavirenz
47420,Efavirenz Sandoz,Efavirenz
47421,Efavirenz Sandoz,Efavirenz
47422,Efavirenz Sandoz,Efavirenz
47423,Efavirenz Teva,Efavirenz
47424,Efavirenz Teva,Efavirenz
47425,Efavirenz Teva,Efavirenz
47426,Efavirenz Teva,Efavirenz
47427,Efavirenz Teva,Efavirenz
47428,Efavirenz Viatris,Efavirenz
47429,Efavirenz Viatris,Efavirenz
47430,Efavirenz/ Emtricitabine/ Tenofovir Disoproxyl Fumarate Aurobindo,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47431,Efavirenz/Emtricitabin/Tenofovirdisoproxi Aliud,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Fumarate"
47432,Efavirenz/Emtricitabin/Tenofovirdisoproxil Al,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47433,Efavirenz/Emtricitabin/Tenofovirdisoproxil Beta,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47434,Efavirenz/Emtricitabin/Tenofovirdisoproxil Beta,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate"
47435,Efavirenz/Emtricitabin/Tenofovirdisoproxil Glenmark,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47436,Efavirenz/Emtricitabin/Tenofovirdisoproxil Heumann,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47437,Efavirenz/Emtricitabin/Tenofovirdisoproxil Macleods,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47438,Efavirenz/Emtricitabin/Tenofovirdisoproxil Puren,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47439,Efavirenz/Emtricitabin/Tenofovirdisoproxil Ratiopharm,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47440,Efavirenz/Emtricitabin/Tenofovirdisoproxil Ratiopharm,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47441,Efavirenz/Emtricitabin/Tenofovirdisoproxil Zentiva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47442,Efavirenz/Emtricitabin/Tenofovirdizoproksil Stada,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Fumarate"
47443,Efavirenz/Emtricitabina/Tenofovir Disoproxil Zentiva K.S.,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47444,Efavirenz/Emtricitabină/Tenofovir Disoproxil Zentiva K.S.,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47445,Efavirenz/Emtricitabina/Tenofovir Disoproxilo Aurovitas,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47446,Efavirenz/Emtricitabina/Tenofovir Disoproxilo Dr. Reddys,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate"
47447,Efavirenz/Emtricitabina/Tenofovir Disoproxilo Glenmark,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47448,Efavirenz/Emtricitabina/Tenofovir Disoproxilo Macleods,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47449,Efavirenz/Emtricitabina/Tenofovir Disoproxilo Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47450,Efavirenz/Emtricitabine/Tenofovir Disoproxil Arrow,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47451,Efavirenz/Emtricitabine/Tenofovir Disoproxil Bgr,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47452,Efavirenz/Emtricitabine/Tenofovir Disoproxil Biogaran,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47453,Efavirenz/Emtricitabine/Tenofovir Disoproxil Dr. Reddy's,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate"
47454,Efavirenz/Emtricitabine/Tenofovir Disoproxil Eg,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47455,Efavirenz/Emtricitabine/Tenofovir Disoproxil Eg,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate"
47456,Efavirenz/Emtricitabine/Tenofovir Disoproxil Eg Labo,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Fumarate"
47457,Efavirenz/Emtricitabine/Tenofovir Disoproxil Glenmark,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47458,Efavirenz/Emtricitabine/Tenofovir Disoproxil Glenmark,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47459,Efavirenz/Emtricitabine/Tenofovir Disoproxil Glenmark,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Fumarate"
47460,Efavirenz/Emtricitabine/Tenofovir Disoproxil Glenmark Pharmaceuticals Europe,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47461,Efavirenz/Emtricitabine/Tenofovir Disoproxil Krka,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47462,Efavirenz/Emtricitabine/Tenofovir Disoproxil Krka,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47463,Efavirenz/Emtricitabine/Tenofovir Disoproxil Krka,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47464,Efavirenz/Emtricitabine/Tenofovir Disoproxil Macleods,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47465,Efavirenz/Emtricitabine/Tenofovir Disoproxil Milpharm,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47466,Efavirenz/Emtricitabine/Tenofovir Disoproxil Mylan,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47467,Efavirenz/Emtricitabine/Tenofovir Disoproxil Mylan,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47468,Efavirenz/Emtricitabine/Tenofovir Disoproxil Mylan 600 Mg/200 Mg/245 Mg Film-Coated Tablets Mylan,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47469,Efavirenz/Emtricitabine/Tenofovir Disoproxil Mylan 600 Mg/200 Mg/245 Mg Film-Coated Tablets Mylan,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47470,Efavirenz/Emtricitabine/Tenofovir Disoproxil Sandoz,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Succinate"
47471,Efavirenz/Emtricitabine/Tenofovir Disoproxil Sandoz Ltd,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47472,Efavirenz/Emtricitabine/Tenofovir Disoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47473,Efavirenz/Emtricitabine/Tenofovir Disoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47474,Efavirenz/Emtricitabine/Tenofovir Disoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47475,Efavirenz/Emtricitabine/Tenofovir Disoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47476,Efavirenz/Emtricitabine/Tenofovir Disoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47477,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47478,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47479,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47480,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47481,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva K.S,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47482,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva K.S,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47483,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva K.S.,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47484,Efavirenz/Emtricitabine/Tenofovir Disoproxil Zentiva K.S.,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47485,Efavirenz/Emtricitabine/Tenofovirdisoproxil Cf,"Emtricitabine, Efavirenz, Tenofovir Disoproxil"
47486,Efavirenz/Emtricitabine/Tenofovirdisoproxil Ratiopharm,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47487,Efavirenz/Emtricitabine/Tenofovirdisoproxil Teva,"Emtricitabine, Efavirenz, Tenofovir Disoproxil Phosphate"
47488,Efaxine,Venlafaxine
47489,Efaxine,Venlafaxine
47490,Efcortelan,Hydrocortisone
47491,Efcortesol,Hydrocortisone Sodium Phosphate
47492,Efdege,Fludeoxyglucose (18f)
47493,Efdege,Fludeoxyglucose (18f)
47494,Efdege,Fludeoxyglucose (18f)
47495,Efdege,Fludeoxyglucose (18f)
47496,Efdege,Fludeoxyglucose (18f)
47497,Efdege,Fludeoxyglucose (18f)
47498,Efdege,Fludeoxyglucose (18f)
47499,Efectin Ep,Venlafaxine Hydrochloride
47500,Efectin Er,Venlafaxine Hydrochloride
47501,Efectin Er,Venlafaxine Hydrochloride
47502,Efectin Er,Venlafaxine Hydrochloride
47503,Efectin Er,Venlafaxine Hydrochloride
47504,Efedrin,Ephedrine
47505,Efedrin,Ephedrine Hydrochloride
47506,Efedrin,Ephedrine Hydrochloride
47507,Efedrin,Ephedrine Hydrochloride
47508,Efedrin,Ephedrine Hydrochloride
47509,Efedrin Abboxia,Ephedrine Hydrochloride
47510,Efedrin Aguettant,Ephedrine Hydrochloride
47511,Efedrin Aguettant,Ephedrine Hydrochloride
47512,Efedrin Aguettant,Ephedrine Hydrochloride
47513,Efedrin Aguettant,Ephedrine Hydrochloride
47514,Efedrin Evolan Pharma,Ephedrine Hydrochloride
47515,Efedrin Sad,Ephedrine Hydrochloride
47516,Efedrin Sintetica,Ephedrine Hydrochloride
47517,Efedrin Unimedic,Ephedrine Hydrochloride
47518,Efedrin Unimedic,Ephedrine Hydrochloride
47519,Efedrin Unimedic,Ephedrine Hydrochloride
47520,Efedrin Unimedic,Ephedrine Hydrochloride
47521,Efedrin Viatris,Ephedrine Hydrochloride
47522,Efedrina,Ephedrine Hydrochloride
47523,Efedrina Aguettant,Ephedrine Hydrochloride
47524,Efedrina Aguettant,Ephedrine Hydrochloride
47525,Efedrina Aguettant,Ephedrine Hydrochloride
47526,Efedrina Aguettant,Ephedrine Hydrochloride
47527,Efedrina Aguettant,Ephedrine Hydrochloride
47528,Efedrina Aguettant,Ephedrine Hydrochloride
47529,Efedrina Arena,Ephedrine Hydrochloride
47530,Efedrina Basi,Ephedrine Hydrochloride
47531,Efedrina Cloridrato,Ephedrine Hydrochloride
47532,Efedrina Cloridrato Monico,Ephedrine Hydrochloride
47533,Efedrina Cloridrato S.A.L.F.,Ephedrine Hydrochloride
47534,Efedrina Kabi,Ephedrine Hydrochloride
47535,Efedrina Labesfal,Ephedrine Sulfate
47536,Efedrina Level Laboratorios Ern,Ephedrine Hydrochloride
47537,Efedrina Medlink,Ephedrine Hydrochloride
47538,Efedrină Zentiva,Ephedrine Hydrochloride
47539,Efedrine Added Pharma,Ephedrine Hydrochloride
47540,Efedrine Added Pharma,Ephedrine Hydrochloride
47541,Efedrine Hcl Aguettant,Ephedrine Hydrochloride
47542,Efedrine Hcl Aguettant,Ephedrine Hydrochloride
47543,Efedrine Hcl Teva,Ephedrine Hydrochloride
47544,Efedrinklorid Sintetica,Ephedrine Hydrochloride
47545,Efejas Dr. Theiss,"Dry Extract Of Hederae Folium (Der 4-8:1), Extracting Agent: Ethanol 30 % (M/M)"
47546,Efejas Forte Dr. Theiss,"Dry Extract Of Hederae Folium (Der 4-8:1), Extracting Agent: Ethanol 30 % (M/M)"
47547,Efensol,Colestyramine
47548,Eferox,Anhydrous Levothyroxine Sodium
47549,Eferox,Anhydrous Levothyroxine Sodium
47550,Eferox,Levothyroxine Sodium
47551,Eferox,Levothyroxine Sodium
47552,Eferox 175,Levothyroxine Sodium
47553,Eferox 200,Levothyroxine Sodium
47554,Eferox Jod,"Potassium Iodide, Levothyroxine Sodium, Hydrate"
47555,Eferox Jod Aristo,"Potassium Iodide, Levothyroxine Sodium, Hydrate"
47556,Eferox Lösung Zum Einnehmen,Levothyroxine Sodium
47557,Efestad,Desloratadine
47558,Efetamol,Paracetamol
47559,Efeu Hustenlöser,"Dry Extract Of Hederae Folium (Der 4-8:1), Extracting Agent: Ethanol 30 % (M/M)"
47560,Efexor,Venlafaxine Hydrochloride
47561,Efexor Depot,Venlafaxine Hydrochloride
47562,Efexor Depot,Venlafaxine Hydrochloride
47563,Efexor Depot,Venlafaxine Hydrochloride
47564,Efexor Depot,Venlafaxine Hydrochloride
47565,Efexor Depot,Venlafaxine Hydrochloride
47566,Efexor Xl,Venlafaxine Hydrochloride
47567,Efexor Xl,Venlafaxine Hydrochloride
47568,Efexor Xl,Venlafaxine Hydrochloride
47569,Efexor Xr,Venlafaxine Hydrochloride
47570,Efexor Xr,Venlafaxine Hydrochloride
47571,Efexor Xr,Venlafaxine Hydrochloride
47572,Efexor Xr,Venlafaxine Hydrochloride
47573,Efexor Xr,Venlafaxine Hydrochloride
47574,Efexor Xr,Venlafaxine Hydrochloride
47575,Efexor-Exel,Venlafaxine Hydrochloride
47576,Efexor-Exel,Venlafaxine Hydrochloride
47577,Effafen Apelsinų Skonio,Flurbiprofen
47578,Effala,5-Aminolevulinic Acid
47579,Effala,5-Aminolevulinic Acid
47580,Effederm,Tretinoin
47581,Effekton,Ketoprofen
47582,Effentora,Fentanyl Citrate
47583,Efferalcaps,Paracetamol
47584,Efferaldol,Paracetamol
47585,Efferaldol Con Vitamina C,"Ascorbic Acid, Paracetamol"
47586,Efferaldol Flas,Paracetamol
47587,Efferalgan,Paracetamol
47588,Efferalgan,Paracetamol
47589,Efferalgan,Paracetamol
47590,Efferalgan,Paracetamol
47591,Efferalgan,Paracetamol
47592,Efferalgan,Paracetamol
47593,Efferalgan,Paracetamol
47594,Efferalgan,Paracetamol
47595,Efferalgan,Paracetamol
47596,Efferalgan,Paracetamol
47597,Efferalgan,Paracetamol
47598,Efferalgan,Paracetamol
47599,Efferalgan,Paracetamol
47600,Efferalgan,"Paracetamol, Codeine Phosphate Hemihydrate"
47601,Efferalgan Adulti,Paracetamol
47602,Efferalgan Adulti Aroma Frutti Di Bosco,Paracetamol
47603,Efferalgan Bambini,Paracetamol
47604,Efferalgan C,"Ascorbic Acid, Paracetamol"
47605,Efferalgan C,"Ascorbic Acid, Paracetamol"
47606,Efferalgan C,"Ascorbic Acid, Paracetamol"
47607,Efferalgan Con Vitamina C,"Ascorbic Acid, Paracetamol"
47608,Efferalgan Febbre E Congestione Nasale,"Pseudoephedrine Hydrochloride, Paracetamol"
47609,Efferalgan Influenza E Raffreddore,"Chlorphenamine Maleate, Paracetamol"
47610,Efferalgan Lattanti,Paracetamol
47611,Efferalgan Lietošanai Bērniem,Paracetamol
47612,Efferalgan Pediátrico,Paracetamol
47613,Efferalgan Pediatrique,Paracetamol
47614,Efferalgan Prima Infanzia,Paracetamol
47615,Efferalgan S Vitaminom C,"Ascorbic Acid, Paracetamol"
47616,Efferalgan Vaikams,Paracetamol
47617,Efferalgan Vitamine C,"Ascorbic Acid, Paracetamol"
47618,Efferalgancaps,Paracetamol
47619,Efferalganeff,Paracetamol
47620,Efferalganodis,Paracetamol
47621,Efferalganstix,Paracetamol
47622,Efferalganstix Fraise,Paracetamol
47623,Efferalganstix Framboise,Paracetamol
47624,Efferalganstix Pamplemousse,Paracetamol
47625,Efferalgo,Paracetamol
47626,Efferamol,Paracetamol
47627,Effercitrate,"Potassium Citrate, Citric Acid"
47628,Effervescent Health Salts,"Magnesium Sulfate, Sodium Hydrogen Carbonate Pheur, Citric Acid, Anhydrous Ph. Eur."
47629,Effexor L.P.,Venlafaxine Hydrochloride
47630,Effexstad Xl Genus Pharmaceuticals Ltd.,Venlafaxine
47631,Effezel,"Adapalene, Benzoyl Peroxide"
47632,Effezel,"Adapalene, Benzoyl Peroxide"
47633,Effezel Forte,"Adapalene, Benzoyl Peroxide"
47634,Effezel Forte,"Adapalene, Benzoyl Peroxide"
47635,Efficib,"Metformin Hydrochloride, Sitagliptin"
47636,Efficib,"Metformin Hydrochloride, Sitagliptin"
47637,Efficib,"Metformin Hydrochloride, Sitagliptin"
47638,Efficib,"Metformin Hydrochloride, Sitagliptin"
47639,Efficort Hydrophile,Hydrocortisone Aceponate
47640,Efficort Lipophile,Hydrocortisone Aceponate
47641,Effilevo,"Ethinylestradiol, Levonorgestrel"
47642,Effimia,"Ethinylestradiol, Norgestimate"
47643,Effimia,"Ethinylestradiol, Norgestimate | Lactose Anhydrous"
47644,Effiplen,"Ethinylestradiol, Gestodene"
47645,Effiprev,"Dienogest, Ethinylestradiol"
47646,Effizinc,Zinc Gluconate
47647,Efflumidex,Fluorometholone
47648,Efflumidex Liquifilm,Fluorometholone
47649,Efflumidex Liquifilm,Fluorometholone
47650,Efflumidex Liquifilm,Fluorometholone
47651,Efflurak,Fluorouracil
47652,Efflurak,Fluorouracil
47653,Efflurak,Fluorouracil
47654,Effortil,Etilefrine Hydrochloride
47655,Effortil,Etilefrine Hydrochloride
47656,Effortil,Etilefrine Hydrochloride
47657,Effortil,Etilefrine Hydrochloride
47658,Effortil,Etilefrine Hydrochloride
47659,Effortil,Etilefrine Hydrochloride
47660,Effortil,Etilefrine Hydrochloride
47661,Effortil,Etilefrine Hydrochloride
47662,Effortil,Etilefrine Hydrochloride
47663,Effortil,Etilefrine Hydrochloride
47664,Effortil,Etilefrine Hydrochloride
47665,Effortil,Etilefrine Hydrochloride
47666,Effortil Tropfen,Etilefrine Hydrochloride
47667,Effox Long,Isosorbide Mononitrate
47668,Eficef,Cefixime
47669,Eficef,Cefixime
47670,Efidac,Hydroxyzine Dihydrochloride
47671,Efient,Prasugrel
47672,Efient,Prasugrel
47673,Efient,Prasugrel
47674,Efient,Prasugrel
47675,Efigalo,Fingolimod
47676,Efigalo,Fingolimod
47677,Efigalo,Fingolimod
47678,Efigalo,Fingolimod
47679,Efigalo,Fingolimod
47680,Efigalo,Fingolimod
47681,Efigalo,Fingolimod
47682,Efigalo,Fingolimod
47683,Efigalo,Fingolimod
47684,Efilda,Dienogest
47685,Efloran,Metronidazole
47686,Efloran,Metronidazole
47687,Efloran,Metronidazole
47688,Efloran,Metronidazole
47689,Efloran,Metronidazole
47690,Efloran,Metronidazole
47691,Efluelda,"B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47692,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47693,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47694,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47695,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47696,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47697,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47698,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47699,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47700,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47701,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47702,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47703,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47704,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47705,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47706,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47707,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47708,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47709,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47710,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
47711,Efluelda,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated"
