code,description
Z02.6,Encounter for examination for fitness to drive
Z02.7,Encounter for issue of medical certificate
Z02.71,"Encounter for issue of medical certificate, unspecified"
Z02.79,Encounter for issue of other medical certificate
Z02.8,Encounter for other administrative examinations
Z02.81,Encounter for paternity testing
Z02.89,Encounter for other administrative examinations
Z02.9,"Encounter for administrative examination, unspecified"
Z03.0,Encounter for medical observation for suspected infectious disease
Z03.7,Encounter for suspected maternal and fetal conditions ruled out
Z03.8,Encounter for observation for other suspected conditions
Z03.9,Encounter for observation for unspecified reason
Z04.0,Encounter for examination and observation following transport accident
Z04.1,Encounter for examination and observation following work accident
Z04.2,Encounter for examination and observation following other accident
Z04.3,Encounter for examination and observation following alleged rape or seduction
Z04.4,Encounter for examination and observation following alleged child abuse
Z04.5,Encounter for examination and observation of victim following civil legal processes
Z04.6,Encounter for examination and observation of victim for judicial purposes
Z04.7,Encounter for covered by social welfare programs
Z04.8,Encounter for examination and observation for other specified reasons
Z04.9,Encounter for examination and observation for unspecified reason
Z09.0,Encounter for counseling related to sexual behavior
Z09.2,Encounter for follow-up examination after completed treatment for neoplasm
Z09.3,Encounter for counseling and surveillance of genetic disease carrier
Z09.4,Encounter for surveillance of contraception
Z09.8,Encounter for other specified aftercare
Z09.9,Encounter for unspecified aftercare
Z11.3,Encounter for screening for infections with primarily sexual mode of transmission
Z11.4,Encounter for screening for infections with primarily blood or tissue route of transmission
Z11.5,Encounter for screening for other viral diseases
Z12.0,Encounter for screening for malignant neoplasm of stomach
Z12.1,Encounter for screening for malignant neoplasm of colon
Z12.2,Encounter for screening for malignant neoplasm of cervix
Z12.3,Encounter for screening for malignant neoplasm of breast
Z12.4,Encounter for screening for malignant neoplasm of other sites
Z12.5,Encounter for screening for malignant neoplasm of prostate
Z12.6,Encounter for screening for malignant neoplasm of bladder
Z12.7,Encounter for screening for malignant neoplasm of other genitourinary organs
Z12.8,Encounter for screening for malignant neoplasm of other sites
Z12.81,Encounter for screening for malignant neoplasm of oropharynx
Z12.82,Encounter for screening for malignant neoplasm of respiratory organs
Z12.83,Encounter for screening for malignant neoplasm of lung
Z12.89,Encounter for screening for malignant neoplasm of other sites
Z12.9,"Encounter for screening for malignant neoplasm, site unspecified"
Z13.0,Encounter for screening of certain infectious and parasitic diseases
Z13.1,Encounter for screening for diabetes mellitus
Z13.2,Encounter for screening for thyroid disorder
Z13.29,Encounter for screening for other endocrine disorder
Z13.3,Encounter for screening for mental health and behavioral disorders
Z13.4,Encounter for screening for certain developmental disorders in childhood
Z13.5,Encounter for screening for eye and ear disorders
Z13.6,Encounter for screening for cardiovascular disorder
Z13.7,Encounter for screening for genetic and chromosomal anomalies
Z13.8,Encounter for screening for other specified disorders
Z13.9,"Encounter for screening, unspecified"
Z20.0,Contact with and exposure to communicable diseases
Z20.01,Contact with and exposure to intestinal infectious disease
Z20.09,Contact with and exposure to other communicable diseases
Z20.1,Contact with and exposure to tuberculosis
Z20.2,Contact with and exposure to infections with a predominantly sexual mode of transmission
Z20.3,Contact with and exposure to rabies
Z20.8,Contact with and exposure to other communicable diseases
Z20.81,Contact with and exposure to varicella
Z20.82,Contact with and exposure to rubella
Z20.89,Contact with and exposure to other viral communicable disease
Z20.9,Contact with and exposure to unspecified communicable disease
Z21.9,Asymptomatic human immunodeficiency virus [HIV] infection status
